iter	RMSE
0	2.095862062
1	2.046079211
2	2.007369001
3	1.967534513
4	1.936915888
5	1.913653724
6	1.885288395
7	1.859990577
8	1.839005823
9	1.815253523
10	1.794557347
11	1.779582254
12	1.769384065
13	1.752315667
14	1.743909356
15	1.735118861
16	1.72122217
17	1.71573712
18	1.702383694
19	1.691265692
20	1.685059212
21	1.676935836
22	1.669325805
23	1.662987713
24	1.652999227
25	1.646133751
26	1.64223621
27	1.632636369
28	1.625666822
29	1.619496125
30	1.612685819
31	1.610081048
32	1.605099571
33	1.597950861
34	1.592966057
35	1.589070853
36	1.584503494
37	1.580931879
38	1.57906668
39	1.575541621
40	1.571414252
41	1.570076854
42	1.566774027
43	1.56333858
44	1.560219923
45	1.553958307
46	1.55054596
47	1.547488126
48	1.545434849
49	1.541896883
50	1.539417413
51	1.53662181
52	1.534596897
53	1.532847266
54	1.531233159
55	1.528084185
56	1.526375348
57	1.521299767
58	1.519400723
59	1.516908584
60	1.514084479
61	1.512360589
62	1.510904784
63	1.509922879
64	1.508035258
65	1.506457417
66	1.504405129
67	1.502901534
68	1.50049232
69	1.499069983
70	1.49726647
71	1.495346108
72	1.493950168
73	1.492923009
74	1.489525122
75	1.487342722
76	1.48591928
77	1.48490466
78	1.48330064
79	1.481602229
80	1.480182079
81	1.478961049
82	1.477251467
83	1.475744088
84	1.474463468
85	1.473056568
86	1.471365924
87	1.469384765
88	1.468031352
89	1.466978902
90	1.466047194
91	1.465363137
92	1.464479943
93	1.462819542
94	1.460780249
95	1.459335189
96	1.457565937
97	1.457116816
98	1.455488019
99	1.453902271
