iter	Passed	Remaining
0	280	116930
1	552	114942
2	817	113059
3	1087	112554
4	1358	112185
5	1630	111948
6	1891	111052
7	2153	110343
8	2416	109837
9	2685	109562
10	2949	109141
11	3223	109054
12	3489	108716
13	3758	108454
14	4017	107945
15	4273	107367
16	4535	106980
17	4800	106685
18	5063	106334
19	5329	106047
20	5588	105655
21	5866	105593
22	6130	105280
23	6386	104837
24	6638	104358
25	6911	104199
26	7179	103962
27	7456	103861
28	7738	103798
29	8006	103545
30	8278	103352
31	8547	103100
32	8811	102803
33	9081	102565
34	9347	102287
35	9606	101931
36	9886	101806
37	10149	101496
38	10426	101322
39	10696	101083
40	10968	100853
41	11243	100659
42	11519	100457
43	11805	100347
44	12093	100240
45	12362	99978
46	12645	99817
47	12909	99513
48	13179	99253
49	13450	98992
50	13730	98804
51	14009	98605
52	14283	98369
53	14566	98186
54	14841	97956
55	15116	97715
56	15382	97420
57	15649	97132
58	15926	96907
59	16206	96698
60	16481	96459
61	16760	96240
62	17042	96033
63	17316	95783
64	17588	95521
65	17867	95292
66	18153	95103
67	18426	94844
68	18696	94566
69	18979	94353
70	19276	94211
71	19548	93943
72	19810	93624
73	20079	93341
74	20362	93124
75	20656	92955
76	20932	92700
77	21225	92521
78	21503	92274
79	21779	92019
80	22047	91727
81	22353	91593
82	22640	91380
83	22909	91090
84	23176	90798
85	23464	90583
86	23736	90307
87	24003	90012
88	24279	89752
89	24549	89468
90	24827	89214
91	25101	88946
92	25376	88682
93	25651	88416
94	25928	88158
95	26225	87963
96	26502	87703
97	26769	87410
98	27044	87143
99	27316	86865
100	27599	86623
101	27880	86375
102	28160	86122
103	28435	85853
104	28714	85595
105	28996	85348
106	29268	85068
107	29547	84811
108	29815	84523
109	30099	84277
110	30377	84015
111	30645	83727
112	30912	83436
113	31184	83159
114	31473	82925
115	31748	82655
116	32024	82388
117	32299	82116
118	32570	81836
119	32855	81590
120	33137	81337
121	33413	81067
122	33708	80845
123	33994	80600
124	34264	80316
125	34548	80063
126	34838	79826
127	35108	79541
128	35384	79273
129	35666	79014
130	35947	78754
131	36227	78492
132	36495	78204
133	36777	77946
134	37053	77675
135	37340	77425
136	37621	77164
137	37903	76906
138	38184	76644
139	38455	76362
140	38737	76101
141	39019	75841
142	39288	75555
143	39557	75268
144	39828	74988
145	40102	74711
146	40376	74436
147	40652	74163
148	40920	73876
149	41190	73593
150	41473	73333
151	41761	73082
152	42036	72808
153	42317	72544
154	42609	72299
155	42878	72013
156	43155	71742
157	43441	71485
158	43720	71218
159	43999	70949
160	44275	70676
161	44560	70416
162	44852	70168
163	45125	69890
164	45392	69601
165	45685	69353
166	45963	69082
167	46243	68814
168	46521	68543
169	46800	68273
170	47073	67995
171	47350	67722
172	47628	67450
173	47910	67184
174	48195	66922
175	48464	66638
176	48745	66371
177	49034	66113
178	49318	65849
179	49595	65576
180	49872	65302
181	50159	65042
182	50451	64787
183	50712	64493
184	50987	64216
185	51285	63969
186	51565	63698
187	51844	63426
188	52120	63151
189	52405	62886
190	52708	62642
191	52996	62380
192	53268	62100
193	53552	61833
194	53834	61564
195	54108	61286
196	54388	61013
197	54677	60753
198	54978	60504
199	55250	60222
200	55516	59936
201	55808	59676
202	56087	59403
203	56356	59119
204	56639	58849
205	56921	58579
206	57200	58305
207	57474	58027
208	57759	57759
209	58050	57497
210	58323	57218
211	58595	56937
212	58889	56677
213	59177	56412
214	59455	56136
215	59731	55860
216	60020	55594
217	60303	55324
218	60595	55062
219	60870	54783
220	61155	54513
221	61437	54242
222	61716	53967
223	61991	53689
224	62276	53419
225	62553	53143
226	62833	52868
227	63111	52593
228	63390	52317
229	63681	52052
230	63957	51775
231	64231	51495
232	64521	51229
233	64808	50960
234	65083	50682
235	65381	50421
236	65660	50145
237	65936	49868
238	66210	49588
239	66490	49313
240	66779	49045
241	67058	48770
242	67344	48499
243	67626	48225
244	67944	47976
245	68222	47700
246	68501	47423
247	68777	47145
248	69060	46872
249	69356	46607
250	69628	46326
251	69922	46059
252	70200	45782
253	70485	45510
254	70758	45229
255	71033	44951
256	71320	44679
257	71619	44415
258	71908	44144
259	72202	43876
260	72497	43609
261	72770	43329
262	73049	43051
263	73337	42780
264	73623	42507
265	73897	42226
266	74164	41942
267	74454	41672
268	74742	41400
269	75027	41126
270	75301	40846
271	75607	40583
272	75894	40310
273	76170	40031
274	76448	39753
275	76735	39480
276	77010	39200
277	77295	38925
278	77570	38646
279	77870	38378
280	78155	38104
281	78431	37825
282	78715	37549
283	78996	37272
284	79289	37001
285	79571	36725
286	79857	36450
287	80153	36180
288	80448	35909
289	80722	35629
290	81010	35355
291	81295	35079
292	81574	34801
293	81856	34524
294	82130	34244
